iter	Logloss	Accuracy:use_weights=true	Accuracy:use_weights=false
592	0.1001539062	0.9660763897	0.9584531799
593	0.1000677226	0.9663215792	0.9587727709
594	0.09998417949	0.96654081	0.9590923618
595	0.09992891545	0.96654081	0.9590923618
596	0.09988490883	0.96654081	0.9590923618
597	0.09975223353	0.9662069232	0.9587727709
598	0.09961796943	0.9662069232	0.9587727709
599	0.09957187847	0.9662069232	0.9587727709
600	0.09944410516	0.9668060527	0.9594119527
601	0.09939280637	0.9668060527	0.9594119527
602	0.09929770716	0.9668060527	0.9594119527
603	0.09921838801	0.9670788369	0.9597315436
604	0.09909632958	0.9670295529	0.9597315436
605	0.09894613307	0.9670295529	0.9597315436
